cruiseId,shipName,sailDateStart,sailDateEnd,sourceType,category,description,amount,verified
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Shopping,Port Merchants,65,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Gaming,Club Royale Entertainment Games,112,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Gaming,Club Royale Entertainment Games,107,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,,#NAME?,Onboard Gratuities,-37,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Internet / Communications,Internet,55.98,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Gaming,Club Royale Entertainment Games,117,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Gaming,Club Royale Entertainment Games,42,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Refund - Internet / Communications,Internet,-16.79,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
5207254,Navigator Of The Seas,9/15/25,9/19/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
3156149,Navigator Of The Seas,9/8/25,9/12/25,STATEMENT,Spa,Spa/Salon,1.84,TRUE
3156149,Navigator Of The Seas,9/8/25,9/12/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
3156149,Navigator Of The Seas,9/8/25,9/12/25,STATEMENT,Gaming,Club Royale Entertainment Games,107,TRUE
3156149,Navigator Of The Seas,9/8/25,9/12/25,STATEMENT,Gaming,Club Royale Entertainment Games,241,TRUE
3156149,Navigator Of The Seas,9/8/25,9/12/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
3156149,Navigator Of The Seas,9/8/25,9/12/25,STATEMENT,Gaming,Club Royale Entertainment Games,200,TRUE
3156149,Navigator Of The Seas,9/8/25,9/12/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
3156149,Navigator Of The Seas,9/8/25,9/12/25,STATEMENT,Gaming,Club Royale Entertainment Games,177,TRUE
3156149,Navigator Of The Seas,9/8/25,9/12/25,STATEMENT,Gaming,Club Royale Entertainment Games,141,TRUE
3156149,Navigator Of The Seas,9/8/25,9/12/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
3156149,Navigator Of The Seas,9/8/25,9/12/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
3156149,Navigator Of The Seas,9/8/25,9/12/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
3156149,Navigator Of The Seas,9/8/25,9/12/25,STATEMENT,Beverages,Casino Bar,12.98,TRUE
3156149,Navigator Of The Seas,9/8/25,9/12/25,STATEMENT,Gaming,Club Royale Entertainment Games,77,TRUE
3156149,Navigator Of The Seas,9/8/25,9/12/25,STATEMENT,,#NAME?,Onboard Gratuities,-37,TRUE
3156149,Navigator Of The Seas,9/8/25,9/12/25,STATEMENT,Internet / Communications,Internet,55.98,TRUE
3156149,Navigator Of The Seas,9/8/25,9/12/25,STATEMENT,Refund - Internet / Communications,Internet,-16.79,TRUE
3156149,Navigator Of The Seas,9/8/25,9/12/25,STATEMENT,Beverages,Casino Bar,12.98,TRUE
3156149,Navigator Of The Seas,9/8/25,9/12/25,STATEMENT,Beverages,Schooner Bar,1,TRUE
2665774,Star Of The Seas,8/27/25,8/27/25,STATEMENT,Beverages,Cloud 17,6.88,TRUE
2665774,Star Of The Seas,8/27/25,8/27/25,STATEMENT,Play,Escape Room,39.99,TRUE
2665774,Star Of The Seas,8/27/25,8/27/25,STATEMENT,Gaming,Club Royale Entertainment Games,150,TRUE
2665774,Star Of The Seas,8/27/25,8/27/25,STATEMENT,Dining,Hooked,76.7,TRUE
2665774,Star Of The Seas,8/27/25,8/27/25,STATEMENT,Gaming,Club Royale Entertainment Games,150,TRUE
2665774,Star Of The Seas,8/27/25,8/27/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
2665774,Star Of The Seas,8/27/25,8/27/25,STATEMENT,Gaming,Club Royale Entertainment Games,150,TRUE
2665774,Star Of The Seas,8/27/25,8/27/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
2665774,Star Of The Seas,8/27/25,8/27/25,STATEMENT,Gaming,Club Royale Entertainment Games,200,TRUE
2665774,Star Of The Seas,8/27/25,8/27/25,STATEMENT,Gaming,Club Royale Entertainment Games,250,TRUE
2665774,Star Of The Seas,8/27/25,8/27/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
2665774,Star Of The Seas,8/27/25,8/27/25,STATEMENT,Services,Wow Bands,14.99,TRUE
2665774,Star Of The Seas,8/27/25,8/27/25,STATEMENT,Gaming,Club Royale Entertainment Games,200,TRUE
2665774,Star Of The Seas,8/27/25,8/27/25,STATEMENT,Beverages,Casino Bar,12.98,TRUE
2665774,Star Of The Seas,8/27/25,8/27/25,STATEMENT,Gaming,Club Royale Entertainment Games,200,TRUE
2665774,Star Of The Seas,8/27/25,8/27/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
2665774,Star Of The Seas,8/27/25,8/27/25,STATEMENT,Gaming,Club Royale Entertainment Games,127,TRUE
6242276,Navigator Of The Seas,8/1/25,8/1/25,STATEMENT,Spa,Spa/Salon,192.36,TRUE
6242276,Navigator Of The Seas,8/1/25,8/1/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
6242276,Navigator Of The Seas,8/1/25,8/1/25,STATEMENT,Beverages,Casino Bar,6.49,TRUE
6242276,Navigator Of The Seas,8/1/25,8/1/25,STATEMENT,Spa,Spa/Salon,20,TRUE
6242276,Navigator Of The Seas,8/1/25,8/1/25,STATEMENT,Internet / Communications,Internet,25.99,TRUE
6242276,Navigator Of The Seas,8/1/25,8/1/25,STATEMENT,Beverages,Casino Bar,6.49,TRUE
6242276,Navigator Of The Seas,8/1/25,8/1/25,STATEMENT,Gaming,Club Royale Entertainment Games,40,TRUE
6242276,Navigator Of The Seas,8/1/25,8/1/25,STATEMENT,,#NAME?,Onboard Gratuities,-55.5,TRUE
6242276,Navigator Of The Seas,8/1/25,8/1/25,STATEMENT,Beverages,Lime & Coconut,6.49,TRUE
6242276,Navigator Of The Seas,8/1/25,8/1/25,STATEMENT,Beverages,Casino Bar,27.14,TRUE
6242276,Navigator Of The Seas,8/1/25,8/1/25,STATEMENT,Refund - Beverages,Casino Bar,-27.14,TRUE
6242276,Navigator Of The Seas,8/1/25,8/1/25,STATEMENT,Beverages,Casino Bar,12.98,TRUE
236930,Ovation Of The Seas,7/29/25,7/29/25,STATEMENT,Beverages,Pool Bar,7.07,TRUE
236930,Ovation Of The Seas,7/29/25,7/29/25,STATEMENT,Beverages,Pool Bar,6.49,TRUE
236930,Ovation Of The Seas,7/29/25,7/29/25,STATEMENT,Internet/Communications,Internet,26.99,TRUE
236930,Ovation Of The Seas,7/29/25,7/29/25,STATEMENT,Beverages,Casino Bar,6.49,TRUE
236930,Ovation Of The Seas,7/29/25,7/29/25,STATEMENT,Beverages,Casino Bar,16.82,TRUE
236930,Ovation Of The Seas,7/29/25,7/29/25,STATEMENT,Beverages,Casino Bar,6.49,TRUE
236930,Ovation Of The Seas,7/29/25,7/29/25,STATEMENT,Refund - Beverages,Casino Bar,-16.82,TRUE
2501764,Harmony Of The Seas,4/20/25,4/20/25,STATEMENT,Beverages,Casino Bar,6.49,TRUE
2501764,Harmony Of The Seas,4/20/25,4/20/25,STATEMENT,Play,Club Royale Entertainment,525,TRUE
2501764,Harmony Of The Seas,4/20/25,4/20/25,STATEMENT,Beverages,Casino Bar,6.49,TRUE
2501764,Harmony Of The Seas,4/20/25,4/20/25,STATEMENT,Internet / Communications,Internet,149.95,TRUE
2501764,Harmony Of The Seas,4/20/25,4/20/25,STATEMENT,Beverages,Casino Bar,6.49,TRUE
2501764,Harmony Of The Seas,4/20/25,4/20/25,STATEMENT,Beverages,Casino Bar,6.49,TRUE
2501764,Harmony Of The Seas,4/20/25,4/20/25,STATEMENT,Dining,Izumi,88.5,TRUE
2501764,Harmony Of The Seas,4/20/25,4/20/25,STATEMENT,Beverages,Casino Bar,16.52,TRUE
2501764,Harmony Of The Seas,4/20/25,4/20/25,STATEMENT,Beverages,Stateroom Service,5,TRUE
2501764,Harmony Of The Seas,4/20/25,4/20/25,STATEMENT,Beverages,Casino Bar,12.98,TRUE
2501764,Harmony Of The Seas,4/20/25,4/20/25,STATEMENT,Beverages,Stateroom Service,9.38,TRUE
2501764,Harmony Of The Seas,4/20/25,4/20/25,STATEMENT,Beverages,Stateroom Service,2,TRUE
2501764,Harmony Of The Seas,4/20/25,4/20/25,STATEMENT,Beverages,American Icon Grille,19.99,TRUE
2501764,Harmony Of The Seas,4/20/25,4/20/25,STATEMENT,Beverages,Casino Bar,12.98,TRUE
2501764,Harmony Of The Seas,4/20/25,4/20/25,STATEMENT,Beverages,Stateroom Service,9.38,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Play,Club Royale Entertainment,650,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Gaming,Club Royale Entertainment Games,20,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Gaming,Club Royale Entertainment Games,150,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Lime & Coconut,12.98,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Dining,Izumi,82.6,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Starbucks,4.07,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Vitality Cafe,2.36,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Spa,Spa/Salon,202.8,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Gaming,Club Royale Entertainment Games,40,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Casino Bar,6.49,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Gaming,Club Royale Entertainment Games,40,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Casino Bar,2,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Dining,Chef'S Table,117.99,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Play,Club Royale Entertainment,500,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Lime & Coconut,6.49,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Stateroom Service,9.38,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Play,Club Royale Entertainment,500,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Lime & Coconut,12.98,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Lime & Coconut,1,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Stateroom Service,9.38,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Gaming,Club Royale Entertainment Games,40,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Shopping,Solera,110,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Stateroom Service,10,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Casino Bar,6.49,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Gaming,Club Royale Entertainment Games,100,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Dining Room,23.59,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Spotlight Bar,10,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Stateroom Service,9.38,TRUE
7871133,Wonder Of The Seas,3/9/25,3/9/25,STATEMENT,Beverages,Stateroom Service,2,TRUE
2501764,Harmony of the Seas,4/20/25,4/20/25,RECEIPT,Retail Cost,7 Night Western Caribbean,2150,TRUE
2501764,Harmony of the Seas,4/20/25,4/20/25,RECEIPT,Casino Comp,7 Night Western Caribbean,-1350,TRUE
2501764,Harmony of the Seas,4/20/25,4/20/25,RECEIPT,Taxes/Fees,7 Night Western Caribbean,175.25,TRUE
2501764,Harmony of the Seas,4/20/25,4/20/25,RECEIPT,Amount Paid,7 Night Western Caribbean,175.25,TRUE
2501764,Harmony of the Seas,4/20/25,4/20/25,RECEIPT,Balance Due,7 Night Western Caribbean,0,TRUE
2679258,Star of the Seas,8/27/25,8/27/25,RECEIPT,Retail Cost,4 Night Showcase,1912,TRUE
2679258,Star of the Seas,8/27/25,8/27/25,RECEIPT,Casino Comp,4 Night Showcase,-1210,TRUE
2679258,Star of the Seas,8/27/25,8/27/25,RECEIPT,Taxes/Fees,4 Night Showcase,162.37,TRUE
2679258,Star of the Seas,8/27/25,8/27/25,RECEIPT,Amount Paid,4 Night Showcase,162.37,TRUE
2679258,Star of the Seas,8/27/25,8/27/25,RECEIPT,Balance Due,4 Night Showcase,0,TRUE
29779,Quantum of the Seas,11/17/25,11/17/25,RECEIPT,Retail Cost,4 Night Ensenada,818,TRUE
29779,Quantum of the Seas,11/17/25,11/17/25,RECEIPT,Casino Comp,4 Night Ensenada,-467,TRUE
